DSH Community Installer third-party package inventory
=====================================================

Generated from the pnpm 11.7.0 offline payload for DSH 0.1.0-rc.7.
Package count: 446

Format: package path | version | SPDX license
node_modules/define-lazy-prop | 3.0.0 | MIT
node_modules/depd | 2.0.0 | MIT
node_modules/detect-libc | 2.1.2 | Apache-2.0
node_modules/diff | 9.0.0 | BSD-3-Clause
node_modules/dunder-proto | 1.0.1 | MIT
node_modules/ecdsa-sig-formatter | 1.0.11 | Apache-2.0
node_modules/ee-first | 1.1.1 | MIT
node_modules/encodeurl | 2.0.0 | MIT
node_modules/es-define-property | 1.0.1 | MIT
node_modules/es-errors | 1.3.0 | MIT
node_modules/es-object-atoms | 1.1.2 | MIT
node_modules/escape-html | 1.0.3 | MIT
node_modules/etag | 1.8.1 | MIT
node_modules/eventsource | 3.0.7 | MIT
node_modules/eventsource-parser | 3.1.1 | MIT
node_modules/express | 5.2.1 | MIT
node_modules/express-rate-limit | 8.6.2 | MIT
node_modules/express/node_modules/content-type | 1.0.5 | MIT
node_modules/extend | 3.0.2 | MIT
node_modules/fast-deep-equal | 3.1.3 | MIT
node_modules/fast-uri | 3.1.5 | BSD-3-Clause
node_modules/fetch-blob | 3.2.0 | MIT
node_modules/fflate | 0.8.3 | MIT
node_modules/finalhandler | 2.1.1 | MIT
node_modules/formdata-polyfill | 4.0.10 | MIT
node_modules/forwarded | 0.2.0 | MIT
node_modules/fresh | 2.0.0 | MIT
node_modules/function-bind | 1.1.2 | MIT
node_modules/gaxios | 7.3.1 | Apache-2.0
node_modules/gcp-metadata | 8.1.2 | Apache-2.0
node_modules/get-intrinsic | 1.3.0 | MIT
node_modules/get-proto | 1.0.1 | MIT
node_modules/google-auth-library | 10.9.1 | Apache-2.0
node_modules/google-logging-utils | 1.1.3 | Apache-2.0
node_modules/gopd | 1.2.0 | MIT
node_modules/has-symbols | 1.1.0 | MIT
node_modules/hasown | 2.0.4 | MIT
node_modules/hono | 4.13.3 | MIT
node_modules/http-errors | 2.0.1 | MIT
node_modules/http-proxy-agent | 7.0.2 | MIT
node_modules/https-proxy-agent | 7.0.6 | MIT
node_modules/iconv-lite | 0.7.3 | MIT
node_modules/immer | 10.2.0 | MIT
node_modules/inherits | 2.0.4 | ISC
node_modules/ip-address | 10.5.0 | MIT
node_modules/ipaddr.js | 1.9.1 | MIT
node_modules/is-docker | 3.0.0 | MIT
node_modules/is-in-ssh | 1.0.0 | MIT
node_modules/is-inside-container | 1.0.0 | MIT
node_modules/is-promise | 4.0.0 | MIT
node_modules/is-wsl | 3.1.1 | MIT
node_modules/isexe | 2.0.0 | ISC
node_modules/jose | 6.2.9 | MIT
node_modules/js-tokens | 4.0.0 | MIT
node_modules/js-yaml | 4.3.1 | MIT
node_modules/json-bigint | 1.0.0 | MIT
node_modules/json-schema-to-ts | 3.1.1 | MIT
node_modules/json-schema-traverse | 1.0.0 | MIT
node_modules/json-schema-typed | 8.0.2 | BSD-2-Clause
node_modules/jwa | 2.0.1 | MIT
node_modules/jws | 4.0.1 | MIT
node_modules/koffi | 3.1.5 | MIT
node_modules/long | 5.3.2 | Apache-2.0
node_modules/loose-envify | 1.4.0 | MIT
node_modules/math-intrinsics | 1.1.0 | MIT
node_modules/media-typer | 1.1.1 | MIT
node_modules/merge-descriptors | 2.0.0 | MIT
node_modules/mime-db | 1.54.0 | MIT
node_modules/mime-types | 3.0.2 | MIT
node_modules/ms | 2.1.3 | MIT
node_modules/negotiator | 1.0.0 | MIT
node_modules/node-addon-api | 7.1.1 | MIT
node_modules/node-addon-native-custom-loader | 0.1.5 | MIT
node_modules/node-addon-require-builtin | 0.1.5 | MIT
node_modules/node-addon-require-builtin-win32-x64-msvc | 0.1.5 | MIT
node_modules/node-domexception | 1.0.0 | MIT
node_modules/node-fetch | 3.3.2 | MIT
node_modules/node-pty | 1.2.0-beta.15 | MIT
